add-c,4,100,800,245871,307,0
add-m,4,10000,80000,12882744,161,0
add-s,4,10000,80000,12884998,161,0
add-c,4,10000,80000,4534743,56,0
add-m,8,10,160,357654,2235,0
add-s,8,10,160,469798,2936,0
add-c,8,10,160,362525,2265,0
add-m,8,20,320,359879,1124,0
add-s,8,20,320,332270,1038,0
add-c,8,20,320,333849,1043,0
add-m,8,40,640,325847,509,0
add-s,8,40,640,356150,556,0
add-c,8,40,640,385948,603,0
add-m,8,80,1280,383183,299,0
add-s,8,80,1280,358771,280,0
add-c,8,80,1280,360039,281,0
add-m,8,100,1600,337166,210,0
add-s,8,100,1600,334372,208,0
add-c,8,100,1600,322948,201,0
add-m,8,10000,160000,36985637,231,0
add-s,8,10000,160000,59424369,371,0
add-c,8,10000,160000,11856878,74,0
add-m,12,10,240,436313,1817,0
add-s,12,10,240,480594,2002,0
add-c,12,10,240,460151,1917,0
add-m,12,20,480,463051,964,0
add-s,12,20,480,462332,963,0
add-c,12,20,480,463154,964,0
add-m,12,40,960,469862,489,0
add-s,12,40,960,506475,527,0
add-c,12,40,960,442479,460,0
add-m,12,80,1920,484672,252,0
add-s,12,80,1920,430396,224,0
add-c,12,80,1920,452273,235,0
add-m,12,100,2400,489198,203,0
add-s,12,100,2400,434779,181,0
add-c,12,100,2400,441841,184,0
add-m,12,10000,240000,55342442,230,0
add-s,12,10000,240000,116300133,484,0
add-c,12,10000,240000,19809927,82,0
